"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,11-08-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane
MICROSCOPE (MICRO-Satellite à traînée Compensée pour l'Observation du Principe d'Equivalence),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,Centre National d'Etudes Spatiales (CNES),Government,Space Science,LEO,25-04-16,Guiana Space Center,5.2079;-52.7724,Long March 3A
OUFTI-1 (Orbital Utility For Telecommunication Innovation),Belgium,University of Liège,Civil,Technology Development,LEO,25-04-16,Guiana Space Center,5.2079;-52.7724,Long March 3A
Pléiades HR1A,France/Italy,"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden",Government,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
SSOT (Sistema Satelital para la Observación de la Tierra),Chile,Chilean Air Force,Government/Military,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
ELISA-E12 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
ELISA-E24 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,17-12-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
e-st@r-2,Italy,Polytechnic of Turin,Civil,Technology Development,LEO,25-04-16,Guiana Space Center,5.2079;-52.7724,Long March 3A
Pléiades HR1B,France,"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden",Government,Earth Observation,LEO,02-12-12,Guiana Space Center,5.2079;-52.7724,Long March 3A
Galileo IOV-1 PFM,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,21-10-11,Guiana Space Center,5.2079;-52.7724,Long March 3A
Galileo IOV-2 FM3,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,12-10-12,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo IOV-2 FM4,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,12-10-12,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo IOV-1 FM2,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commerical,Navigation,MEO,21-10-11,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b FM02,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,25-06-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b FM04,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,25-06-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b FM05 (Other 3 Billion),United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,25-06-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b PFM,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,25-06-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM1 (Galileo 5),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,22-08-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM2 (Galileo 6),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,22-08-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM3 (Galileo 7),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,27-03-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM4 (Galileo 8),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,27-03-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM5 (Galileo 9),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,11-09-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM6 (Galileo 10),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,11-09-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM8 (Galileo 11),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,17-12-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM9 (Galileo 12),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,17-12-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM10 (Galileo 13),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,24-05-16,Guiana Space Center,5.2079;-52.7724,Long March 3B
Galileo FOC FM11 (Galileo 14),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency,Commercial,Navigation,MEO,24-05-16,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b FM03,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,10-07-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3b FM06,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,10-07-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM07,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,10-07-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM08,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,10-07-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM09,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,18-12-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM10,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,18-12-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM11,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,18-12-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
O3B FM12,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,18-12-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
Sentinel 2A,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,EUMETSAT,Government,Earth Observation,LEO,23-06-15,Guiana Space Center,5.2079;-52.7724,Long March 3B
Proba V (Project for On-Board Autonomy),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (ESA),Government,Earth Observation,LEO,07-05-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
KazEOSat-1 (Kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,LEO,30-04-14,Guiana Space Center,5.2079;-52.7724,Long March 3B
VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite),Vietnam,Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Government,Earth Observation,LEO,07-05-13,Guiana Space Center,5.2079;-52.7724,Long March 3B
"S-Cube (S3, Shootingstar Sensing Satellite)",Japan,"Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University",Civil,Technology Development,LEO,17-09-15,International Space Station,N/A,Long March 3B
SpinSat (Special Purpose Inexpensive Satellite),USA,US Naval Research Laboratory,Military,Technology Development,LEO,28-11-14,International Space Station,N/A,Long March 3B
Dove 1e-7  (0 Flock 1E-7 0B0E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,14-07-15,International Space Station,N/A,Long March 3B
Dove 1e-10  (0 Flock 1E-10 0B09),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,15-07-15,International Space Station,N/A,Long March 3C
Dove 1e-11  (0 Flock 1E-11 0B1E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,15-07-15,International Space Station,N/A,Long March 3C
Dove 1e-12  (0 Flock 1E-12 0B0A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,15-07-15,International Space Station,N/A,Long March 3C
Dove 1e-6  (0 Flock 1E-6 0B0B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,15-07-15,International Space Station,N/A,Long March 3C
Dove 1e-13  (0 Flock 1E-13 0C07),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,16-07-15,International Space Station,N/A,Long March 3C
Dove 1e-14  (0 Flock 1E-14 0B0F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,16-07-15,International Space Station,N/A,Long March 3C
Dove 2b-1 (0 Flock 2B-1 0C70),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 3C
Dove 2b-2 (0 Flock 2B-2 0C18),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 3C
Dove 2b-3 (0 Flock 2B-3 0C53),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 3C
Dove 2b-4 (0 Flock 2B-4 0C72),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 3C
Dove 2b-5 (0 Flock 2B-5 0C73),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 4B
Dove 2b-6 (0 Flock 2B-6 0C69),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 4B
Dove 2b-7 (0 Flock 2B-7 0C66),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,06-10-15,International Space Station,N/A,Long March 4B
Dove 2b-10 (0 Flock 2B-10 0C64),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,07-10-15,International Space Station,N/A,Long March 4B
Dove 2b-13 (0 Flock 2B-13 0C74),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,07-10-15,International Space Station,N/A,Long March 4B
Dove 2b-14 (0 Flock 2B-14 0C47),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,07-10-15,International Space Station,N/A,Long March 4B
Dove 2b-9 (0 Flock 2B-9 0C68),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,07-10-15,International Space Station,N/A,Long March 4B
Dove 2e-1 (0 Flock 2E-1 0C37),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2e-2 (0 Flock 2E-2 0C78),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2e-3 (0 Flock 2E-3 0C60),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2e-4 (0 Flock 2E-4 0C41),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2ep-1 (0 Flock 2EP-1 0D05),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2ep-2 (0 Flock 2EP-2 0C1B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2ep-3 (0 Flock 2EP-3 0D06),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
Dove 2ep-4 (0 Flock 2EP-4 0C22),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,17-05-16,International Space Station,N/A,Long March 4B
GOMX-3,Denmark,GomSpace ApS,Commercial,Technology Development,LEO,05-10-15,International Space Station,N/A,Long March 4B
Cubebug 1  (Capitán Beto),Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,LEO,26-04-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Kuaizhou-2 (KZ-2),China,National Academy of Sciences,Government,Earth Observation,LEO,21-11-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Tianwang 1B (TW-1B; NJUST-2),China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,LEO,24-09-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Tianwang 1C (TW-1C; NJFA-1),China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,LEO,24-09-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
"Tianwang 1A (TW-1A, SECM-1, Shangkeda-2)",China,Shanghai Engineering Center for Microsatellites,Civil,Technology Development,LEO,24-09-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Pujiang-1,China,Shanghai Academy of Space Technology (SAST),Government,Technology Development,LEO,24-09-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Yaogan 24 (Remote Sensing Satellite 24),China,People's Liberation Army (C41),Military,Earth Observation,LEO,20-11-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Shijian 11-01 (SJ-11-01),China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,12-11-09,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Shijian 11-03 (SJ-11-03),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,06-07-11,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Shijian 11-02 (SJ-11-02),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,29-07-11,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4B
Shijian 11-05 (SJ-11-05),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,15-07-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Shijian 11-06 (SJ-11-06),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,31-03-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Shijian 11-07 (SJ-11-07),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,28-09-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Shijian 11-08 (SJ-11-08),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,27-10-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Jilin-1,China,Changchun Institute of Optics,Commercial,Earth Observation,LEO,07-10-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Lingqiao-A (Lingqiao Video A),China,Changchun Institute of Optics,Commercial,Earth Observation,LEO,07-10-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Lingqiao-B (Lingqiao Video B),China,Changchun Institute of Optics,Commercial,Earth Observation,LEO,07-10-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"LQSat (Lingqiao Satellite, Jilian 1A)",China,Changchun Institute of Optics,Commercial,Earth Observation,LEO,07-10-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Tianhui 1-01,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,24-08-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Tianhui 1-02,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,06-05-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Gaofen 9,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,14-09-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Tianhui 1-03,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,26-10-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Chuangxin 1-2 (Innovation 1-2),China,Chinese Academy of Sciences,Government,Earth Observation,LEO,05-11-08,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Chuangxin 1-3 (Innovation 1-3),China,Chinese Academy of Sciences,Government,Earth Observation,LEO,20-11-11,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Chuangxin 1-4 (Innovation 1-4),China,Chinese Academy of Sciences,Government,Earth Observation,LEO,04-09-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Shiyan 3 (SY3, Experimental Satellite 3)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,05-11-08,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Shiyan 4 (SY4, Experimental Satellite 4)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,20-11-11,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Shiyan 5 (SY5, Experimental Satellite 5)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,25-11-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Yaogan 4 (Remote Sensing Satellite 4),China,People's Liberation Army (C41),Government,Earth Observation,LEO,01-12-08,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Yaogan 7 (Remote Sensing Satellite 7),China,People's Liberation Army (C41),Government,Earth Observation,LEO,09-12-09,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Gaofen 1,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,LEO,26-04-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Yaogan 11 (Remote Sensing Satellite 11),China,People's Liberation Army (C41),Military,Earth Observation,LEO,22-09-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Yaogan 30 (Remote Sensing Satellite 30),China,People's Liberation Army (C41),Military,Earth Observation,LEO,15-05-16,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
Göktürk 2,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,LEO,18-12-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)",China,Zhejiang University,Civil,Space Science,LEO,22-09-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Zheda Pixing 1C (ZP-1C, Zhejiang University-1B",China,Zhejiang University,Civil,Space Science,LEO,22-09-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
DAMPE (Dark Matter Particle Explorer),China,Chinese Academy of Science,Government,Space Science,LEO,17-12-15,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 4C
"Shijian 7 (SJ7, Dong Fang Hong 65)",China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,05-07-05,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Ling Qiao,China,Xinwei Telecom Technology Company,Commercial,Technology Development,LEO,04-09-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Shijian 12 (SJ-12),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,15-06-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
"VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda)",Venezuela,Bolivarian Agency for Space Activities,Government,Earth Observation,LEO ,28-09-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Tiangong-1 (TG-1),China,   Beijing Aerospace Flight Control Center,Government,Technology Development,LEO,29-09-11,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Shijian 16 01 (SJ-16),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,25-10-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Shijian 16 02,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,29-06-16,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 9A (Remote Sensing Satellite 9A),China,People's Liberation Army (C41),Government,Earth Observation,LEO,05-03-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 9B (Remote Sensing Satellite 9B),China,People's Liberation Army (C41),Government,Earth Observation,LEO,05-03-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 9C (Remote Sensing Satellite 9C),China,People's Liberation Army (C41),Government,Earth Observation,LEO,05-03-10,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China,People's Liberation Army (C41),Military,Earth Observation,LEO,25-11-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 16B (Remote Sensing Satellite 16B),China,People's Liberation Army (C41),Military,Earth Observation,LEO,25-11-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 16C (Remote Sensing Satlelite 16C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,25-11-12,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China,People's Liberation Army (C41),Military,Earth Observation,LEO,01-09-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 17B (Remote Sensing Satellite 17B),China,People's Liberation Army (C41),Military,Earth Observation,LEO,01-09-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 17C (Remote Sensing Satellite 17C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,01-09-13,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 20A (Remote Sensing Satellite 20A),China,People's Liberation Army (C41),Military,Earth Observation,LEO,09-08-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 20C (Remote Sensing Satellite 20C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,09-08-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 25A (Remote Sensing Satellite 25A),China,People's Liberation Army (C41),Military,Earth Observation,LEO,10-12-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 25B (Remote Sensing Satellite 25B),China,People's Liberation Army (C41),Military,Earth Observation,LEO,10-12-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March 6
Yaogan 25C (Remote Sensing Satellite 25C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,10-12-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March CZ-2E
Yaogan 20B (Remote Sensing Satellite 20B),China,People's Liberation Army (C41),Military ,Earth Observation,LEO,09-08-14,Jiuquan Satellite Launch Center,40.9675;100.278611,Long March CZ3B
"PCSat (Prototype Communications SATellite, Navy-Oscar 44, NO-44)",USA,US Naval Academy,Government,Communications/Technology Development,LEO,30-09-01,Kodiak Launch Complex,57.435833;-152.337778,Long March CZ3B
TacSat 4,USA,Naval Research Laboratory,Military,Technology Development,Elliptical,27-09-11,Kodiak Launch Complex,57.435833;-152.337778,M5
"O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)",USA,NASA-Ames Research Center/Stanford University,Government/Civil,Space Science,LEO,20-11-10,Kodiak Launch Complex,57.435833;-152.337778,Minotaur
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,University of Texas - Austin,Civil,Technology Development,LEO,20-11-10,Kodiak Launch Complex,57.435833;-152.337778,Minotaur
STPSat-2 (USA 217),USA,USAF Space Test Program,Military,Technology Development,LEO,20-11-10,Kodiak Launch Complex,57.435833;-152.337778,Minotaur
Interstellar Boundary EXplorer (IBEX),USA,NASA/Goddard Space Flight Center,Government,Space Science,Elliptical,19-10-08,Kwajalein Island,8.7167;167.7333,Minotaur
NuSTAR (Nuclear Spectroscopic Telescope Array),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,13-06-12,Kwajalein Island,8.7167;167.7333,Minotaur
STSat-2C,South Korea,Korea Aerospace Research Institute (KARI),Government,Technology Development,LEO,30-01-13,Naro Space Center,34.4417;127.5341,Minotaur
Ofeq 5 ,Israel,Ministry of Defense,Military,Earth Observation,LEO,28-05-02,Palmachim Launch Complex ,31.897778;34.690556,Minotaur
Ofeq 7,Israel,Ministry of Defense,Military,Earth Observation,LEO,10-06-07,Palmachim Launch Complex ,31.897778;34.690556,Minotaur 1
Ofeq 9,Israel,Ministry of Defense,Military,Earth Observation,LEO,22-06-10,Palmachim Launch Complex ,31.897778;34.690556,Minotaur 1
Ofeq 10,Israel,Ministry of Defense,Military,Earth Observation,LEO,09-04-14,Palmachim Launch Complex ,31.897778;34.690556,Minotaur 1
